date,bc_active_addresses,bc_tx_count,bc_hash_rate,bc_fees_usd,bc_tx_volume_usd,bc_mempool_bytes,cm_mvrv,cm_active_addr,cm_stablecoin_cap,fear_greed,spx,dxy,vix,us10y
2025-07-09 00:00:00+00:00,542076.0,444726.0,953502423.549154,541491.1659896998,7732968413.466436,2780360.5,2.268230580456622,779022.0,220538881850.14713,66.0,6263.26,119.7311,15.94,4.34
2025-07-10 00:00:00+00:00,605456.0,446575.0,994200697.7250328,558278.2768032,11593476507.743673,384446.5,2.3546017983970526,829216.0,221894341577.77057,71.0,6280.46,119.8343,15.78,4.35
2025-07-11 00:00:00+00:00,626638.0,408758.0,872105875.197397,648253.1650886001,17966579616.717262,971598.5,2.38212290459618,845548.0,222429132846.67896,71.0,6259.75,119.9214,16.4,4.43
2025-07-12 00:00:00+00:00,501978.0,395744.0,918141001.6128464,475590.08132749953,7065294773.538602,285188.5,2.37341147249211,673470.0,222489899951.14703,79.0,,,,
2025-07-13 00:00:00+00:00,466718.0,399761.0,859946006.057642,503048.4325394998,4554222640.881363,5159015.5,2.4017092198498973,655163.0,222545216995.82806,74.0,,,,
2025-07-14 00:00:00+00:00,598435.0,457360.0,910161831.228891,707845.2244780998,28379995376.52119,910988.0,2.4125084332311304,797345.0,222313783673.12842,74.0,6268.56,120.2209,17.2,4.43
2025-07-15 00:00:00+00:00,560371.0,418737.0,1029424416.010608,494649.97886509984,25653677929.517857,2194271.0,2.3641951149221963,753728.0,221138219549.8286,73.0,6243.76,120.5105,17.38,4.5
2025-07-16 00:00:00+00:00,542511.0,399196.0,822284137.1792051,539026.658809,15318731737.294672,11062049.0,2.368875124533446,735726.0,224309971743.5114,70.0,6263.7,120.4175,17.16,4.46
2025-07-17 00:00:00+00:00,594592.0,433844.0,853669027.9112357,759875.8270961998,29735820375.44461,1516265.5,2.3749858049492363,811618.0,226867526852.64322,74.0,6297.36,120.6384,16.52,4.47
2025-07-18 00:00:00+00:00,580677.0,452162.0,903884853.0824848,555282.9509184998,17065964092.484245,415891.5,2.340384009446915,757713.0,227213405991.4084,73.0,6296.79,120.356,16.41,4.44
2025-07-19 00:00:00+00:00,477264.0,426040.0,891330896.7896729,527824.4994325002,6034792021.890069,2570914.5,2.336414214135971,655287.0,226943575890.9021,74.0,,,,
2025-07-20 00:00:00+00:00,455280.0,414919.0,935269743.8145157,373225.6475633999,3737438458.7072406,470251.5,2.323370138320551,625098.0,226732234713.07898,72.0,,,,
2025-07-21 00:00:00+00:00,537794.0,384438.0,941546721.960922,503624.6106511,14562334193.0149,1139064.5,2.3218439654227243,733805.0,226776028669.45905,71.0,6305.6,119.9961,16.65,4.38
2025-07-22 00:00:00+00:00,519024.0,421750.0,941546721.960922,521343.4692966999,14170292447.359936,7467223.0,2.3670956161477066,730808.0,226677020312.78125,72.0,6309.62,119.681,16.5,4.35
2025-07-23 00:00:00+00:00,535701.0,366826.0,878776940.4968604,497337.5907055001,10879734897.830894,693981.0,2.334400354595592,738717.0,227288681870.6799,74.0,6358.91,119.5697,15.37,4.4
2025-07-24 00:00:00+00:00,528797.0,409736.0,922715787.5217032,1167863.0273503999,11261125234.19587,4684612.5,2.3257901969225427,719805.0,229712719124.55014,71.0,6363.35,119.5664,15.39,4.43
2025-07-25 00:00:00+00:00,577530.0,427905.0,1004316503.4249833,640284.2510954001,22820893392.68719,1077285.0,2.304027155259395,749904.0,228516997475.73633,70.0,6388.64,119.9857,14.93,4.4
2025-07-26 00:00:00+00:00,491132.0,573275.0,970032969.1338755,504849.25492689974,4964932334.15206,516373.0,2.3118305041157874,652309.0,228553010249.89105,72.0,,,,
2025-07-27 00:00:00+00:00,457112.0,472894.0,869131963.3112651,503102.1029167001,3373298830.617135,151510.5,2.3388539623352456,615345.0,228486300767.92236,73.0,,,,
2025-07-28 00:00:00+00:00,529385.0,502252.0,919884194.7454995,523055.56434399995,12934438036.770037,4986365.0,2.3084821087206895,728095.0,228976088732.0249,75.0,6389.77,120.6149,15.03,4.42
2025-07-29 00:00:00+00:00,561483.0,350960.0,710531240.0792824,616889.9551534996,13288768254.758938,1863689.0,2.3014237166265827,715626.0,228719906326.2341,73.0,6370.86,120.9674,15.98,4.34
2025-07-30 00:00:00+00:00,554145.0,423333.0,869131963.3112651,501456.5726224999,10499712187.637215,1862587.0,2.2955727612124828,733090.0,229370793640.44403,74.0,6362.9,121.4042,15.48,4.38
2025-07-31 00:00:00+00:00,584264.0,485215.0,976980455.1090133,469306.96322790015,9759826295.827438,982594.5,2.2576734658479003,752871.0,229407817585.44202,72.0,6339.39,121.721,16.72,4.37
2025-08-01 00:00:00+00:00,636772.0,400385.0,957948368.3211753,650735.3773200996,15497763392.271341,5147981.5,2.2070884136924738,838177.0,229575216186.09534,65.0,6238.01,121.2122,20.38,4.23
2025-08-02 00:00:00+00:00,526686.0,309743.0,919884194.7454995,469641.7091407004,3157274637.0232015,19742413.0,2.1923149563631275,693800.0,229435373352.30093,55.0,,,,
2025-08-03 00:00:00+00:00,462597.0,283479.0,983324484.0382924,354102.4855785996,3752362442.6492014,574196.5,2.2240971442941064,621756.0,229520194860.18228,53.0,,,,
2025-08-04 00:00:00+00:00,542397.0,443301.0,1084828946.9067616,391000.8551261003,11845762258.67677,501236.5,2.240631105189466,728238.0,229833871381.947,64.0,6329.94,120.9859,17.52,4.22
2025-08-05 00:00:00+00:00,569616.0,411399.0,875475992.2405444,419262.03134079993,9313301817.800478,1115942.5,2.2178999959543493,798131.0,229907716045.70947,60.0,6299.19,120.9082,17.85,4.22
2025-08-06 00:00:00+00:00,665517.0,496208.0,913540165.8162203,675583.1462656002,7655906247.251752,2363624.0,2.2349723954934775,838450.0,230095949282.9668,54.0,6345.06,120.5082,16.77,4.22
2025-08-07 00:00:00+00:00,634516.0,565200.0,1021388657.6139685,606753.4561265005,8976136352.994701,670348.5,2.2781308995532936,810557.0,229993345542.88702,62.0,6340.0,120.5043,16.57,4.23
2025-08-08 00:00:00+00:00,749938.0,474798.0,870485436.2761792,661202.0397023001,10640830372.69743,5855732.0,2.2621480824612368,960615.0,231091928269.10605,74.0,6389.45,120.3329,15.15,4.27
2025-08-09 00:00:00+00:00,591211.0,376121.0,746374213.3917352,537494.3760560004,3986623481.7432323,293419.5,2.2569920501462186,767705.0,231155149525.7931,67.0,,,,
2025-08-10 00:00:00+00:00,489536.0,400467.0,868625162.1369333,367168.20194830024,4258627456.3488636,400661.5,2.307419605120224,651290.0,230980706376.98212,69.0,,,,
2025-08-11 00:00:00+00:00,552696.0,449633.0,945836287.6602162,532546.2248090997,11718980185.323074,1918879.0,2.296376996154095,760684.0,231062595846.89413,70.0,6373.45,120.6892,16.25,4.27
2025-08-12 00:00:00+00:00,543783.0,367063.0,881493683.0574806,514602.6123685003,11498642440.824318,551610.5,2.320647620011929,721420.0,232038944844.53906,68.0,6445.76,120.2736,14.73,4.29
2025-08-13 00:00:00+00:00,562007.0,441094.0,1003744631.8026783,534109.5736517996,12888456394.703356,326072.5,2.379739102823155,753168.0,232751935386.7411,73.0,6466.58,120.13,14.49,4.24
2025-08-14 00:00:00+00:00,630373.0,484085.0,1042350194.56432,519827.2050705001,14413520594.360933,300732.0,2.2824160062100023,803997.0,233217004362.84076,75.0,6468.54,120.6446,14.83,4.29
2025-08-15 00:00:00+00:00,555918.0,430405.0,862190901.6766596,431323.5219931001,14017254389.700182,473184.5,2.25769289975179,734665.0,234794139508.474,60.0,6449.8,120.3377,15.09,4.33
2025-08-16 00:00:00+00:00,475351.0,401706.0,978007589.9615842,352155.73949159996,5504971480.001399,979413.5,2.2532741501991906,642573.0,234790657075.2326,56.0,,,,
